catalogue,site,publisher,licence,status
app.bookteq.com,https://lrso.bookteq.com/api/open-active,LRSO,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://manchestercommunicationacademy.bookteq.com/api/open-active,Manchester Communication Academy,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://marchtownfcestovercic.bookteq.com/api/open-active,March was Town FC Estover CIC,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://marstonmoretaine.bookteq.com/api/open-active,Marston Moretaine Playing Fields,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://nxtlevelsportandeducation.bookteq.com/api/open-active,NXT Level Sport & Education Ltd,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://oldnorthamptonians.bookteq.com/api/open-active,Old Northamptonians Association,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://oldwhitgiftianscc.bookteq.com/api/open-active,,,ERROR_HTTP_404
app.bookteq.com,https://orchardlearningalliance.bookteq.com/api/open-active,Orchard Learning Alliance,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://pomphreyhill.bookteq.com/api/open-active,Pomphrey Hill Community Sports Association,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://precisionfootballarena.bookteq.com/api/open-active,Precision Football Arena,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://preessportsclub.bookteq.com/api/open-active,Prees Sports and Social Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://princesparkyouthfc.bookteq.com/api/open-active,Princes Park Youth Football Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://prioryfederation.bookteq.com/api/open-active,Priory Federation of Academies,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://qhmemorialsportsground.bookteq.com/api/open-active,QH Memorial Sports Ground - River Pitches,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://readingrugbyclub.bookteq.com/api/open-active,Reading Rugby Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://risecommunitycic.bookteq.com/api/open-active,The Hub - Rise Community,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://schoolenterprises.bookteq.com/api/open-active,School Enterprises Ltd,https://creativecommons.org/licenses/by/4.0/,COMPLETE
