level,url,status,seconds,platform,publisher,kind,declared
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-scheduled-sessions?afterTimestamp=346279906&afterId=00000000000865163071,COMPLETE,0.08,opendata.leisurecloud.live,Everyone Active,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-facility-uses,COMPLETE,0.36,opendata.leisurecloud.live,Everyone Active,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-facility-uses?afterTimestamp=4820192531&afterId=169PICK060SH002,COMPLETE,0.27,opendata.leisurecloud.live,Everyone Active,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-slots,COMPLETE,0.12,opendata.leisurecloud.live,Everyone Active,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/EveryoneActive-live-slots?afterTimestamp=0&afterId=,COMPLETE,0.11,opendata.leisurecloud.live,Everyone Active,Slot,
site,https://lamptonleisure.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Lampton Leisure,,5
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-course-instance,COMPLETE,0.13,opendata.leisurecloud.live,Lampton Leisure,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.14,opendata.leisurecloud.live,Lampton Leisure,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-session-series,COMPLETE,0.24,opendata.leisurecloud.live,Lampton Leisure,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-session-series?afterTimestamp=62552202&afterId=NCPCLCA11000426,COMPLETE,0.13,opendata.leisurecloud.live,Lampton Leisure,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-scheduled-sessions,COMPLETE,0.12,opendata.leisurecloud.live,Lampton Leisure,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-scheduled-sessions?afterTimestamp=72093941&afterId=00000000000040093836,COMPLETE,0.15,opendata.leisurecloud.live,Lampton Leisure,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-facility-uses,COMPLETE,0.07,opendata.leisurecloud.live,Lampton Leisure,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-facility-uses?afterTimestamp=71449260&afterId=FALTENNIS,COMPLETE,0.11,opendata.leisurecloud.live,Lampton Leisure,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-slots,COMPLETE,0.08,opendata.leisurecloud.live,Lampton Leisure,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/LamptonLeisure-live-slots?afterTimestamp=70784764&afterId=FALGYMPROGRAMME_2026-07-16T20-15-00,COMPLETE,0.08,opendata.leisurecloud.live,Lampton Leisure,Slot,
site,https://ledleisure.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,LED Community Leisure Ltd,,5
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-course-instance,COMPLETE,0.09,opendata.leisurecloud.live,LED Community Leisure Ltd,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-course-instance?afterTimestamp=9736417&afterId=ELCJUNIORSEA4,COMPLETE,0.1,opendata.leisurecloud.live,LED Community Leisure Ltd,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-session-series,COMPLETE,0.22,opendata.leisurecloud.live,LED Community Leisure Ltd,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-session-series?afterTimestamp=5468459&afterId=VIRTTRIPSUNPM1,COMPLETE,0.38,opendata.leisurecloud.live,LED Community Leisure Ltd,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-scheduled-sessions,COMPLETE,0.28,opendata.leisurecloud.live,LED Community Leisure Ltd,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-scheduled-sessions?afterTimestamp=9145659&afterId=00000000000080926985,COMPLETE,0.22,opendata.leisurecloud.live,LED Community Leisure Ltd,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-facility-uses,COMPLETE,0.12,opendata.leisurecloud.live,LED Community Leisure Ltd,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-facility-uses?afterTimestamp=9509672&afterId=MU40049,COMPLETE,0.08,opendata.leisurecloud.live,LED Community Leisure Ltd,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-slots,COMPLETE,0.08,opendata.leisurecloud.live,LED Community Leisure Ltd,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/LEDCommunityLeisureLtd-live-slots?afterTimestamp=7952354&afterId=STAFFTRAINING5_2026-07-15T20-00-00,COMPLETE,0.19,opendata.leisurecloud.live,LED Community Leisure Ltd,Slot,
site,https://leisuresk.leisurecloud.net/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Leisure SK,,5
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-course-instance,COMPLETE,0.11,opendata.leisurecloud.live,Leisure SK,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.13,opendata.leisurecloud.live,Leisure SK,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-session-series,COMPLETE,0.23,opendata.leisurecloud.live,Leisure SK,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/LeisureSK-live-session-series?afterTimestamp=78480585&afterId=A7CLLSW12300921,COMPLETE,0.21,opendata.leisurecloud.live,Leisure SK,SessionSeries,
